day,campaign_network,adgroup_network,creative_network,cost,network_impressions,network_clicks,installs,iniciou cadastro_events,registro completo sms_events,usuário tem benefício inss_events,usuário é servidor govba_events,usuário é servidor govsp_events,usuário é servidor prefsp_events,usuário é servidor govmt_events,usuário é lead_events,aceitar oferta_events,proposta paga_events,primeira compra_events,primeira compra govba_events,primeira compra govsp_events,primeira compra govmt_events,primeira compra prefsp_events,primeira compra inss_events,recompra_events,all_revenue
2023-08-13,all_geral_tk_app_conversao_cold_and,aberto_0_0_0_sp-ba-mt_18-65_auto_serv,story_vid_troco_sr-leal_troco_v1_app_baixe-app_trilha_c-leg,"19,79",4026,44,6,5,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-12,all_geral_tk_app_conversao_cold_and,aberto_0_0_0_sp-ba-mt_18-65_auto_serv,story_vid_cn_video-adri_comparacao_v5_app_usar-app_original_c-leg,"19,77",3564,138,23,28,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-10,inss_geral_fb_app_conversao_cold_and,lal_macica-inss-renda-2k_600k_2_br_25-65_auto_lead,story_vid_cn_video-adri_40min-cai-na-conta_v1_app_usar-app_original_s-leg,"19,74",851,29,17,34,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-11,all_geral_tk_app_conversao_cold_and,lal_servidores-estados_184k_1_sp-ba-mt_22-55_auto_lead,story_vid_cn_video-adri_menor-taxa_v2_app_usar-app_original_s-leg,"19,74",3123,49,16,19,9,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,"0,0"
2023-08-12,prefsp_geral_fb_app_conversao_cold_and,lal_base-govsp-higienizada-tomadores_152k_1_br_18-65_auto_serv,story_vid_troco_sr-leal_troco_v1_app_baixe-app_trilha_c-leg,"19,54",1155,11,7,7,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-13,prefsp_geral_fb_app_conversao_cold_and,lal_base-govsp-higienizada-tomadores_152k_1_br_18-65_auto_serv,story_vid_troco_sr-leal_troco_v1_app_baixe-app_trilha_c-leg,"19,44",1137,13,4,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-10,govsp_geral_fb_app_conversao_cold_and,lal_serv-govsp_4k_1_sp_22-65_auto_servsp,story_vid_baixe-app_vid-marcela_opcoes-consignado-sem-margem_v1_app_baixe-o-app_original_s-leg,"19,31",1104,18,15,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-13,govsp_geral_fb_app_conversao_cold_and,lal_base-govsp_200k_2_sp_22-64_auto_servsp,story_vid_troco_sr-leal_troco_v2_app_baixe-app_trilha_c-leg,"19,17",778,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-10,all_geral_tk_app_conversao_cold_and,lal_servidor-expanded-deviceprice_36k_1_sp-ba-mt_18-55_auto_lead,story_vid_cn_video-adri_comparacao_v5_app_usar-app_original_c-leg,"19,04",3203,67,26,37,13,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-10,inss_geral_fb_app_conversao_cold_and,lal_macica-inss-renda-2k_600k_1_br_25-65_auto_lead,story_vid_cn_video-adri_possibilidades_v3_app_usar-app_original_s-leg,"18,98",672,23,16,27,8,3,0,0,0,0,3,2,0,0,0,0,0,0,0,0,"0,0"
2023-08-12,govsp_geral_fb_app_conversao_cold_and,lal_base-govsp_200k_2_sp_22-64_auto_servsp,story_vid_troco_sr-leal_troco_v1_app_baixe-app_trilha_c-leg,"18,75",790,5,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-12,all_geral_tk_app_conversao_cold_and,lal_servidor-estadual_3k_1_sp-ba-mt_18-55_auto_lead,story_vid_cn_video-adri_menor-taxa_v2_app_usar-app_original_s-leg,"18,61",3383,42,24,22,11,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-12,govsp_geral_gg_app_conversao_cold_and,aberto_0_0_0_sp_18-65_auto-gg_servsp,0_0_0_0_0_0_0_0_0_0,"18,6068",1801,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-11,prefsp_geral_fb_app_conversao_cold_and,lal_base-govsp-higienizada-tomadores_152k_1_br_18-65_auto_serv,story_vid_troco_sr-leal_troco_v2_app_baixe-app_trilha_c-leg,"18,45",1009,18,3,6,3,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-13,govsp_geral_fb_app_conversao_cold_and,lista_base-govsp-higienizada-tomadores_152k_0_br_18-65_auto_servsp,story_vid_troco_sr-leal_troco_v2_app_baixe-app_trilha_c-leg,"18,39",760,5,2,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-11,govsp_geral_fb_app_conversao_cold_and,lista_pm-govsp-tomador_42k_0_br_18-65_auto_servsp,institucional_carrossel_port_red-de-parcelas_diminuir-parcelas_v1_app_baixe-o-app_0_0,"18,31",975,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-12,inss_geral_fb_app_conversao_cold_and,lal_macica-inss-renda-2k_600k_1_br_25-65_auto_lead,story_vid_cn_video-adri_possibilidades_v3_app_usar-app_original_s-leg,"18,31",621,21,11,12,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-12,inss_geral_fb_app_conversao_cold_and,lal_macica-inss-renda-2k_600k_1_br_25-65_auto_lead,story_vid_cn_video-adri_15-bancos_v2_app_usar-app_original_s-leg,"17,97",459,12,7,8,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-13,govsp_geral_fb_app_conversao_cold_and,aberto_0_0_0_sp_22-65_auto_servsp,story_vid_troco_sr-leal_troco_v1_app_baixe-app_trilha_c-leg,"17,87",1286,14,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-12,govmt_geral_fb_app_conversao_cold_and,lal_pm-govmt_2k_1_br_18-65_auto_serv,story_vid_troco_sr-leal_troco_v1_app_baixe-app_trilha_c-leg,"17,79",877,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-11,govsp_geral_fb_app_conversao_hot_and,engajamento_envolvimento-pageview_33k_0_sp_21-64_auto_lead,story_vid_baixe-app_vid-marcela_dica-credito-sem-margem_v2_app_baixe-o-app_original_0,"17,78",841,11,3,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0,0"
2023-08-12,inss_geral_fb_app_conversao_cold_and,lal_macica-inss-renda-2k_390k_1_br_25-65_auto_lead,story_vid_cn_video-adri_40min-cai-na-conta_v1_app_usar-app_original_s-leg,"17,71",711,10,5,8,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-12,inss_geral_fb_app_conversao_cold_and,lal_macica-inss-renda-2k_390k_1_br_25-65_auto_lead,story_vid_cn_video-adri_possibilidades_v3_app_usar-app_original_s-leg,"17,61",561,17,10,10,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-13,inss_geral_fb_app_conversao_cold_and,lal_beneficiarios-inss_1k_1_br_45-65_auto_lead,story_vid_cn_video-adri_40min-cai-na-conta_v1_app_usar-app_original_s-leg,"17,49",544,17,8,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-13,all_geral_tk_app_conversao_cold_and,lal_servidor-estadual_3k_1_sp-ba-mt_18-55_auto_lead,story_vid_troco_sr-leal_troco_v1_app_baixe-app_trilha_c-leg,"17,48",2870,35,7,9,6,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-11,govsp_geral_fb_app_conversao_cold_and,lista_pm-govsp-tomador_42k_0_br_18-65_auto_servsp,story_vid_troco_sr-leal_troco_v2_app_baixe-app_trilha_c-leg,"17,45",753,5,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-13,all_geral_tk_app_conversao_cold_and,lal_servidores-estados_184k_1_sp-ba-mt_22-55_auto_lead,story_vid_troco_sr-leal_troco_v1_app_baixe-app_trilha_c-leg,"17,38",3564,41,8,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-10,govsp_geral_fb_app_conversao_cold_and,lista_pm-govsp-tomador_42k_0_br_18-65_auto_servsp,institucional_carrossel_port_red-de-parcelas_diminuir-parcelas_v1_app_baixe-o-app_0_0,"17,32",992,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-11,govsp_geral_fb_app_conversao_cold_and,lista_base-govsp-higienizada-tomadores_152k_0_br_18-65_auto_servsp,institucional_carrossel_port_red-de-parcelas_diminuir-parcelas_v1_app_baixe-o-app_0_0,"17,27",814,4,3,2,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-12,inss_geral_fb_app_conversao_cold_and,lal_macica-inss-renda-2k_600k_1_br_25-65_auto_lead,story_vid_cn_video-adri_40min-cai-na-conta_v1_app_usar-app_original_s-leg,"17,26",815,21,16,23,9,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-13,govsp_geral_fb_app_conversao_cold_and,lista_pm-govsp-tomador_42k_0_br_18-65_auto_servsp,story_vid_troco_sr-leal_troco_v2_app_baixe-app_trilha_c-leg,"17,03",682,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-13,govmt_geral_fb_app_conversao_cold_and,lal_pm-govmt_2k_1_br_18-65_auto_serv,story_vid_troco_sr-leal_troco_v1_app_baixe-app_trilha_c-leg,"16,93",932,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-13,govmt_geral_fb_app_conversao_cold_and,lal_pm-govmt_2k_1_br_18-65_auto_serv,story_vid_troco_sr-leal_troco_v2_app_baixe-app_trilha_c-leg,"16,93",748,9,4,4,2,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,"0,0"
2023-08-10,govsp_geral_fb_app_conversao_cold_and,lal_serv-estadual_0_1_sp_22-65_auto_servsp,institucional_carrossel_port_red-de-parcelas_diminuir-parcelas_v1_app_baixe-o-app_0_0,"16,9",630,3,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"0,0"
